bigg.metabolite,bigg.reaction,Mode,metabolite_id
10fthf,MTHFC,-,10fthf_c
10fthf,MTHFD,-,10fthf_c
15dap,DHFR,-,15dap_c
15dap,LYSTRS,-,15dap_c
1pyr5c,CTPS2,-,1pyr5c_c
1pyr5c,GF6PTA,-,1pyr5c_c
23dappa,DAPDC,-,23dappa_c
23dappa,GF6PTA,-,23dappa_c
23dappa,PANTS,-,23dappa_c
23dappa,SERD_D,-,23dappa_c
26dap__M,ARGabcpp,-,26dap__M_c
2cpr5p,PRAIi,-,2cpr5p_c
2dda7p,DDPA,-,2dda7p_c
2dda7p,DHQS,-,2dda7p_c
2ddg6p,GLCRAL,-,2ddg6p_c
2ddg6p,GLGC,+,2ddg6p_c
2dr5p,GLGC,+,2dr5p_c
2obut,ACHBS,-,2obut_c
2obut,GLGC,+,2obut_c
2obut,HOPNTAL,-,2obut_c
2obut,LDH_D,+,2obut_c
2obut,PDH,-,2obut_c
2pg,DDPA,-,2pg_c
2pg,G3PD2,-,2pg_c
2pg,MGSA,-,2pg_c
2pglyc,ASPT,-,2pglyc_c
2pglyc,TPI,-,2pglyc_c
3dhq,DHQTi,-,3dhq_c
3hpp,PANTS,-,3hpp_c
3mob,VALTA,-,3mob_c
3pg,FBA,-,3pg_c
3pg,GDPMNP,-,3pg_c
3pg,GLGC,+,3pg_c
3pg,ICL,-,3pg_c
3pg,MGSA,-,3pg_c
3pg,PGCD,-,3pg_c
3pg,PPCK,-,3pg_c
3pg,PTHRpp,+,3pg_c
3psme,PSCVT,-,3psme_c
3sala,ASNS1,-,3sala_c
4abut,PANTS,-,4abut_c
4abz,ADCS,+,4abz_c
4ahmmp,HMPK1,-,4ahmmp_c
4hbz,ANS,-,4hbz_c
4hbz,CHRPL,-,4hbz_c
4hthr,4HTHRS,-,4hthr_c
4mop,HOPNTAL,-,4mop_c
4per,A5PISO,-,4per_c
4ppan,PPNCL2,-,4ppan_c
5mta,AHCYSNS,-,5mta_c
5mta,APCS,-,5mta_c
5mthf,DHFS,-,5mthf_c
6hmhpt,DHNPA2r,-,6hmhpt_c
6pgc,DDPGALA,-,6pgc_c
6pgc,KG6PDC,-,6pgc_c
6pgc,PGI,-,6pgc_c
6pgc,RPI,-,6pgc_c
8aonn,AMAOTr,-,8aonn_c
8aonn,AOXSr2,-,8aonn_c
aacoa,ACACT1r,-,aacoa_c
aacoa,PNTK,-,aacoa_c
ac,ACODA,-,ac_c
ac,ADPT,+,ac_c
ac,AGDC,-,ac_c
ac,ASPCT,-,ac_c
ac,CYANST,-,ac_c
ac,DHQTi,-,ac_c
ac,DURIK1,-,ac_c
ac,GLCRAL,-,ac_c
acald,ACALD,-,acald_c
acald,BETALDHx,-,acald_c
acald,PDH,-,acald_c
accoa,3OAR100,-,accoa_c
accoa,3OAS121,-,accoa_c
accoa,CS,+,accoa_c
accoa,FORCT,-,accoa_c
accoa,ME2,-,accoa_c
accoa,OXCDC,-,accoa_c
accoa,PDH,-,accoa_c
accoa,PNTK,-,accoa_c
accoa,PPC,+,accoa_c
accoa,PPCK,+,accoa_c
acgam1p,G1PACT,-,acgam1p_c
acgam1p,UACMAMO,+,acgam1p_c
acgam6p,AGDC,-,acgam6p_c
acgam6p,G6PDA,+,acgam6p_c
acglu,ACGS,-,acglu_c
acglu,CBPS,+,acglu_c
acon_C,FUM,-,acon_C_c
acon_C,GLUSy,-,acon_C_c
acon_C,ICL,-,acon_C_c
acon_T,ACONMT,-,acon_T_c
acon_T,FUM,-,acon_T_c
actp,ME2,+,actp_c
actp,TMPPP,-,actp_c
ade,AHCYSNS,-,ade_c
ade,AMAOTr,-,ade_c
ade,CTPS2,-,ade_c
ade,DBTS,-,ade_c
ade,DURIK1,-,ade_c
ade,ORPT,-,ade_c
adn,AHCYSNS,-,adn_c
adn,AMAOTr,-,adn_c
adn,ASPCT,+,adn_c
adn,CTPS2,-,adn_c
adn,CYTD,-,adn_c
adn,GMPS2,-,adn_c
adn,LEUTRS,-,adn_c
adn,METTRS,-,adn_c
adn,NADS1,-,adn_c
adn,ORPT,-,adn_c
adn,PUNP1,-,adn_c
adp,ACGAMK,-,adp_c
adp,ADNCYC,-,adp_c
adp,ADSK,-,adp_c
adp,AGMHE,-,adp_c
adp,ASNN,-,adp_c
adp,ATPS4rpp,-,adp_c
adp,CDAPPA120,-,adp_c
adp,DBTS,-,adp_c
adp,DPR,-,adp_c
adp,FBP,-,adp_c
adp,FRUK,-,adp_c
adp,G3PD2,-,adp_c
adp,GDPMNP,-,adp_c
adp,GLCS1,-,adp_c
adp,GLU5K,-,adp_c
adp,GLUPRT,-,adp_c
adp,GLUSy,-,adp_c
adp,GLYK,-,adp_c
adp,GMPS2,-,adp_c
adp,GSNK,-,adp_c
adp,GTPCI,-,adp_c
adp,IMPD,-,adp_c
adp,LDH_D,-,adp_c
adp,LEUTRS,-,adp_c
adp,NADS1,-,adp_c
adp,NDPK1,-,adp_c
adp,NTD1,-,adp_c
adp,NTD10,-,adp_c
adp,ORPT,-,adp_c
adp,OXCDC,+,adp_c
adp,PFK,+,adp_c
adp,PNTK,-,adp_c
adp,PPS,-,adp_c
adp,PRAIS,-,adp_c
adp,PRPPS,-,adp_c
adp,PTA2,-,adp_c
adp,PTHRpp,+,adp_c
adp,THD2pp,+,adp_c
adp,TMPK,-,adp_c
adp,TMPPP,-,adp_c
adp,UAMAS,-,adp_c
adp,UAPGR,-,adp_c
adpglc,AGMHE,-,adpglc_c
adpglc,GLCP2,-,adpglc_c
adpglc,PPS,-,adpglc_c
adpglc,UDPGALPpp,-,adpglc_c
adprib,ACALD,-,adprib_c
adprib,G3PD2,-,adprib_c
adprib,UAPGR,-,adprib_c
agm,ARGDC,-,agm_c
ahcys,ACONMT,-,ahcys_c
ahcys,AHCYSNS,-,ahcys_c
ahcys,AMAOTr,-,ahcys_c
ahcys,CFAS160E,-,ahcys_c
ahcys,HCYSMT,-,ahcys_c
ahcys,OBTFL,-,ahcys_c
air,PRAIS,-,air_c
akg,ABTA,-,akg_c
akg,CS,-,akg_c
akg,FBA,+,akg_c
akg,ICL,-,akg_c
akg,ILETA,-,akg_c
akg,PPS,-,akg_c
akg,PTHRpp,+,akg_p
akg,SDPTA,-,akg_c
akg,SUCOAS,-,akg_c
ala__D,CSND,+,ala__D_c
ala__D,GHMT2r,-,ala__D_c
ala__L,DDPA,-,ala__L_c
ala__L,GLNS,-,ala__L_c
ala__L,GLUSy,-,ala__L_c
ala__L,OCBT,-,ala__L_c
ala__L,PANTS,-,ala__L_c
ala__L,PGCD,-,ala__L_c
ala__L,SERAT,-,ala__L_c
ala__L,SERD_D,-,ala__L_c
ala__L,TRPAS2,-,ala__L_c
ala__L,VPAMTr,-,ala__L_c
ala_B,PGCD,-,ala_B_c
ala_B,PRAGSr,-,ala_B_c
alaala,ALAALAr,-,alaala_c
altrn,MANAO,-,altrn_c
altrn,MNNH,+,altrn_c
amet,ADMDC,-,amet_c
amet,HCYSMT,-,amet_c
amet,HSST,-,amet_c
amet,METS,+,amet_c
amet,OBTFL,+,amet_c
ametam,ADMDC,-,ametam_c
ametam,APCS,-,ametam_c
amp,23PDE2pp,-,amp_p
amp,AB6PGH,-,amp_c
amp,ACALD,-,amp_c
amp,ACS,-,amp_c
amp,ADK1,-,amp_c
amp,ADPT,-,amp_c
amp,ARGTRS,-,amp_c
amp,ASNN,+,amp_c
amp,ASNS2,-,amp_c
amp,ATPPRT,-,amp_c
amp,CDAPPA120,-,amp_c
amp,DASYN120,+,amp_c
amp,DBTS,-,amp_c
amp,DGK1,-,amp_c
amp,DPR,-,amp_c
amp,FBP,-,amp_c
amp,FMNRx2,-,amp_c
amp,G3PD2,-,amp_c
amp,GDPMNP,-,amp_c
amp,GLCP2,+,amp_c
amp,GLNS,-,amp_c
amp,GLUPRT,-,amp_c
amp,GMPR,-,amp_c
amp,IMPD,-,amp_c
amp,LEUTRS,-,amp_c
amp,NADS1,-,amp_c
amp,NTD10,-,amp_c
amp,ORPT,-,amp_c
amp,OXCDC,+,amp_c
amp,PANTS,-,amp_c
amp,PNTK,-,amp_c
amp,PPS,-,amp_c
amp,PRPPS,-,amp_c
amp,PTHRpp,+,amp_p
amp,PYDAMK,-,amp_c
amp,PYK,+,amp_c
amp,RPI,-,amp_c
amp,SELNPS,-,amp_c
amp,THD2pp,+,amp_c
amp,TMPK,-,amp_c
amp,TYRTRS,-,amp_c
anth,IGPS,-,anth_c
ap5a,ADK1,-,ap5a_c
ap5a,CBPS,-,ap5a_c
apoACP,ACPS1,-,apoACP_c
appl,ETHAAL,-,appl_c
aps,ADSK,-,aps_c
ara5p,RPI,-,ara5p_c
ara5p,TALA,-,ara5p_c
ara5p,TKT1,-,ara5p_c
arg__L,ACGK,-,arg__L_c
arg__L,ACGS,-,arg__L_c
arg__L,AGMT,-,arg__L_c
arg__L,ARGDC,-,arg__L_c
asn__L,ASNN,+,asn__L_c
asn__L,ASNS1,-,asn__L_c
asn__L,ASNS2,-,asn__L_c
asn__L,GLUSy,-,asn__L_c
asn__L,OCBT,-,asn__L_c
aso3,ASO3t8pp,+,aso3_c
aso3,NTRIR2x,-,aso3_c
aso3,SULR,-,aso3_c
aso3,TRDR,-,aso3_c
aso4,GLCP2,-,aso4_c
aso4,MGSA,-,aso4_c
aso4,OCBT,-,aso4_c
aso4,PIuabcpp,-,aso4_c
asp__L,ASNN,-,asp__L_c
asp__L,ASNS1,-,asp__L_c
asp__L,ASNS2,-,asp__L_c
asp__L,ASPCT,-,asp__L_c
asp__L,ASPT,+,asp__L_c
asp__L,CSND,+,asp__L_c
asp__L,GLUSy,-,asp__L_c
asp__L,ME2,+,asp__L_c
asp__L,PANTS,-,asp__L_c
asp__L,PPC,-,asp__L_c
aspsa,ASPT,-,aspsa_c
aspsa,HSK,-,aspsa_c
athr__L,PGCD,-,athr__L_c
atp,3KGK,-,atp_c
atp,3NTD2pp,-,atp_c
atp,AB6PGH,-,atp_c
atp,ACGK,-,atp_c
atp,ADNCYC,-,atp_c
atp,ADSK,-,atp_c
atp,AGMHE,-,atp_c
atp,AMPN,+,atp_c
atp,ARGTRS,-,atp_c
atp,ASNN,-,atp_c
atp,ASO3t8pp,-,atp_c
atp,ASPCT,+,atp_c
atp,ATPPRT,-,atp_c
atp,CDAPPA120,-,atp_c
atp,CS,-,atp_c
atp,DASYN120,+,atp_c
atp,DPR,-,atp_c
atp,FBP,-,atp_c
atp,G3PAT120,+,atp_c
atp,G3PD2,-,atp_c
atp,G6PDH2r,-,atp_c
atp,GDPMNP,-,atp_c
atp,GDPTPDP,+,atp_c
atp,GLUDy,+,atp_c
atp,GLUSy,-,atp_c
atp,GMPR,-,atp_c
atp,GND,-,atp_c
atp,GSNK,+,atp_c
atp,GTPCI,-,atp_c
atp,HSDy,+,atp_c
atp,IMPD,-,atp_c
atp,Kabcpp,+,atp_c
atp,LDH_D,-,atp_c
atp,MANAO,-,atp_c
atp,MTHFD,-,atp_c
atp,NTD1,-,atp_c
atp,NTD10,-,atp_c
atp,NTP12,-,atp_c
atp,NTPP1,-,atp_c
atp,ORPT,-,atp_c
atp,OXCDC,+,atp_c
atp,PFK,-,atp_c
atp,PPCK,-,atp_c
atp,PPS,-,atp_c
atp,PTA2,-,atp_c
atp,PTHRpp,+,atp_c
atp,PYK,-,atp_c
atp,RBK,-,atp_c
atp,RNDR1,+,atp_c
atp,SERAT,-,atp_c
atp,SUCOAS,-,atp_c
atp,TAGURr,-,atp_c
atp,THD2pp,+,atp_c
atp,TMK,+,atp_c
atp,TMPPP,-,atp_c
betald,BETALDHx,-,betald_c
btn,ACCOAC,+,btn_c
but,UAAGDS,-,but_c
camp,AB6PGH,-,camp_c
camp,CDAPPA120,-,camp_c
camp,ME2,-,camp_c
cbm,RNDR1,-,cbm_c
cbp,GLNS,-,cbp_c
cdp,PPC,+,cdp_c
cdp,RNDR1,-,cdp_c
chol,BETALDHx,-,chol_c
cinnm,KAS15,-,cinnm_c
cit,ACCOAC,+,cit_c
cit,ASPT,-,cit_c
cit,CHORM,-,cit_c
cit,FBA,+,cit_c
cit,FBP,+,cit_c
cit,FUM,-,cit_c
cit,GALCTD,-,cit_c
cit,GLCS1,+,cit_c
cit,LACZ,-,cit_c
cit,PFK,-,cit_c
cit,PPC,-,cit_c
citr__L,ACGS,-,citr__L_c
citr__L,ARGDC,-,citr__L_c
citr__L,ARGTRS,-,citr__L_c
cmp,AB6PGH,-,cmp_c
cmp,CDAPPA120,-,cmp_c
cmp,GSNK,+,cmp_c
cmp,KDOCT2,-,cmp_c
cmp,PPC,+,cmp_c
coa,3OAR100,-,coa_c
coa,ACGS,-,coa_c
coa,FORCT,-,coa_c
coa,G3PAT120,-,coa_c
coa,GND,-,coa_c
coa,MALTATr,-,coa_c
coa,MOHMT,-,coa_c
coa,OXCDC,-,coa_c
coa,PNTK,-,coa_c
coa,PTPATi,-,coa_c
coa,SERAT,-,coa_c
ctp,3NTD2pp,-,ctp_c
ctp,CTPS2,-,ctp_c
ctp,CYTDK2,-,ctp_c
ctp,DASYN120,-,ctp_c
ctp,DXYLK,-,ctp_c
ctp,GLNS,-,ctp_c
ctp,GLUSy,-,ctp_c
ctp,MEPCT,-,ctp_c
ctp,NTD1,-,ctp_c
ctp,NTD10,-,ctp_c
ctp,NTPP1,-,ctp_c
ctp,TMPPP,-,ctp_c
cyan,ADMDC,-,cyan_c
cyan,CAT,-,cyan_c
cyan,CYANST,-,cyan_c
cyan,DDPA,-,cyan_c
cyan,GLCP2,-,cyan_c
cyan,GLCRAL,-,cyan_c
cyan,MCPST,-,cyan_c
cyan,NO3R2bpp,-,cyan_c
cyan,NODOx,-,cyan_c
cyan,NTRIR2x,-,cyan_c
cyan,SELCYSS,-,cyan_c
cyan,SPMDAT2,-,cyan_c
cyan,SPODM,-,cyan_c
cyan,SULR,-,cyan_c
cyan,TRDR,-,cyan_c
cynt,CBPS,-,cynt_c
cynt,HCO3E,-,cynt_c
cynt,PPA,-,cynt_c
cys__D,ARGabcpp,+,cys__D_c
cys__D,CYSDDS,-,cys__D_c
cys__L,ADSK,+,cys__L_c
cys__L,ALTRH,+,cys__L_c
cys__L,AMPTASECG,-,cys__L_c
cys__L,AOXSr2,-,cys__L_c
cys__L,ARGabcpp,-,cys__L_c
cys__L,CYSDDS,-,cys__L_c
cys__L,CYSDS,-,cys__L_c
cys__L,CYSTRS,-,cys__L_c
cys__L,FBA,-,cys__L_c
cys__L,GLUSy,-,cys__L_c
cys__L,GUI1,-,cys__L_c
cys__L,HCYSMT,+,cys__L_c
cys__L,HSDy,-,cys__L_c
cys__L,HSK,-,cys__L_c
cys__L,LCADi,+,cys__L_c
cys__L,MCPST,-,cys__L_c
cys__L,PANTS,-,cys__L_c
cys__L,PPC,-,cys__L_c
cys__L,SERAT,-,cys__L_c
cys__L,TRDR,+,cys__L_c
cys__L,UAMAS,-,cys__L_c
cys__L,UGLT,+,cys__L_c
cys__L,ZN2abcpp,+,cys__L_c
cyst__L,ARGabcpp,-,cyst__L_c
cyst__L,HCYSMT,+,cyst__L_c
cytd,ASPCT,-,cytd_c
cytd,CYTD,+,cytd_c
dad_2,CYTD,-,dad_2_c
dad_2,GMPS2,-,dad_2_c
dad_2,PUNP1,-,dad_2_c
damp,NTPP1,-,damp_c
datp,3NTD2pp,-,datp_c
datp,LEUTRS,-,datp_c
datp,NTD1,-,datp_c
datp,NTD10,-,datp_c
datp,NTPP1,-,datp_c
datp,TYRTRS,-,datp_c
dcacoa,EDTXS1,-,dcacoa_c
dcdp,DURIK1,+,dcdp_c
dcdp,RNDR1,-,dcdp_c
dctp,3NTD2pp,-,dctp_c
dctp,ASPCT,-,dctp_c
dctp,DASYN120,-,dctp_c
dctp,DTMPK,-,dctp_c
dctp,DURIK1,+,dctp_c
dctp,NTD1,-,dctp_c
dctp,NTD10,-,dctp_c
dctp,NTPP1,-,dctp_c
dctp,RNDR1,+,dctp_c
ddcacoa,EDTXS1,-,ddcacoa_c
dgsn,CTPS2,-,dgsn_c
dgsn,CYTD,-,dgsn_c
dgtp,3NTD2pp,-,dgtp_c
dgtp,DGK1,-,dgtp_c
dgtp,GTPCI,-,dgtp_c
dgtp,NTD1,-,dgtp_c
dgtp,NTD10,-,dgtp_c
dgtp,NTPP1,-,dgtp_c
dgtp,NTPTP1,-,dgtp_c
dha,ACNML,-,dha_c
dhap,FBA,-,dhap_c
dhap,G3PAT120,-,dhap_c
dhap,G3PD2,-,dhap_c
dhap,MGSA,+,dhap_c
dhap,PPCK,-,dhap_c
dhf,DHFS,-,dhf_c
dhf,DHNPA2r,-,dhf_c
dhf,TMDS,-,dhf_c
dhpmp,DNTPPA,-,dhpmp_c
dhpt,DHFS,-,dhpt_c
dhpt,DHNPA2r,-,dhpt_c
dhpt,DHPS2,-,dhpt_c
dmso,THD2pp,-,dmso_c
dmso,UAGPT3,+,dmso_c
dpcoa,PNTK,-,dpcoa_c
dpcoa,PTPATi,-,dpcoa_c
dtbt,ACCOAC,-,dtbt_c
dtbt,DBTS,-,dtbt_c
dtdp,TDPGDH,-,dtdp_c
dtdpglu,G1PTT,-,dtdpglu_c
dtdpglu,GALUi,-,dtdpglu_c
dtdpglu,GLCP2,-,dtdpglu_c
dtdpglu,UDPG4E,-,dtdpglu_c
dtdprmn,G1PTT,-,dtdprmn_c
dtdprmn,GALUi,-,dtdprmn_c
dtmp,GSNK,+,dtmp_c
dtmp,TMDS,-,dtmp_c
dttp,3NTD2pp,-,dttp_c
dttp,DCTPD,-,dttp_c
dttp,DNTPPA,-,dttp_c
dttp,DTMPK,-,dttp_c
dttp,DURIK1,-,dttp_c
dttp,G1PTT,-,dttp_c
dttp,GTPCI,-,dttp_c
dttp,NTD1,-,dttp_c
dttp,NTD10,-,dttp_c
dttp,NTPP1,-,dttp_c
dttp,TDPGDH,-,dttp_c
dump,DTMPK,-,dump_c
duri,CYTD,-,duri_c
dutp,DCTPD,-,dutp_c
dutp,UPPRT,-,dutp_c
e4p,DDPA,-,e4p_c
etha,BETALDHx,-,etha_c
etha,G1SAT,+,etha_c
etha,LACZ,-,etha_c
etoh,ASPT,-,etoh_c
etoh,GDPDPK,+,etoh_c
f1p,FBP,-,f1p_c
f1p,PFK,-,f1p_c
f6p,AGDC,-,f6p_c
f6p,G6PDA,-,f6p_c
f6p,GLGC,+,f6p_c
f6p,PFK,-,f6p_c
f6p,PPCK,-,f6p_c
f6p,RPI,-,f6p_c
fad,ADSK,-,fad_c
fad,FMNRx2,-,fad_c
fald,ASAD,-,fald_c
fald,MDDCP1pp,-,fald_p
fald,MOHMT,-,fald_c
fdp,AB6PGH,-,fdp_c
fdp,DDPA,-,fdp_c
fdp,FBP,-,fdp_c
fdp,FRUK,-,fdp_c
fdp,GLGC,+,fdp_c
fdp,GLYK,-,fdp_c
fdp,GND,-,fdp_c
fdp,NNDPR,-,fdp_c
fdp,PFK,-,fdp_c
fdp,PPC,+,fdp_c
fdp,PPCK,-,fdp_c
fdp,PYK,+,fdp_c
for,DPR,+,for_c
for,FHL,-,for_c
for,OBTFL,-,for_c
fruur,TAGURr,-,fruur_c
fum,ADSS,-,fum_c
fum,ASP1DC,-,fum_c
fum,ASPCT,-,fum_c
fum,ME2,-,fum_c
fum,PPC,-,fum_c
g1p,GLCP2,-,g1p_c
g1p,UGLT,-,g1p_c
g3p,DDPGALA,-,g3p_c
g3p,DXPS,-,g3p_c
g3p,FBA,-,g3p_c
g3p,G3PD2,-,g3p_c
g3p,GLGC,+,g3p_c
g3p,PPS,-,g3p_c
g6p,FBP,-,g6p_c
g6p,GLGC,+,g6p_c
g6p,PYK,+,g6p_c
g6p,TREptspp,-,g6p_c
gal,LACZ,-,gal_c
gal1p,UGLT,-,gal1p_c
galct__D,GLCRAL,-,galct__D_c
galct__D,GLCRD,-,galct__D_c
gam6p,AGDC,-,gam6p_c
gam6p,GF6PTA,-,gam6p_c
gam6p,GLNS,-,gam6p_c
gcald,GCALDD,-,gcald_c
gcald,LCADi,-,gcald_c
gcald,RBP4E,-,gcald_c
gdp,ADSS,-,gdp_c
gdp,CTPS2,-,gdp_c
gdp,DGK1,-,gdp_c
gdp,GDMANE,-,gdp_c
gdp,GMAND,-,gdp_c
gdp,GSNK,-,gdp_c
gdp,GTPCI,-,gdp_c
gdp,IMPD,-,gdp_c
gdp,LYSDC,-,gdp_c
gdp,NDPK1,-,gdp_c
gdp,NTPTP1,-,gdp_c
gdp,ORNDC,+,gdp_c
gdp,PFK,+,gdp_c
gdp,RNDR1,-,gdp_c
gdpfuc,GMAND,-,gdpfuc_c
gdptp,LYSDC,-,gdptp_c
gdptp,ORNDC,+,gdptp_c
glc__D,GLCP2,-,glc__D_c
glc__D,PPBNGS,-,glc__D_c
glc__D,TREptspp,-,glc__D_c
glc__D,XYLI1,-,glc__D_c
glcn,MNNH,-,glcn_c
glcn,PANTS,-,glcn_c
glcr,ALTRH,-,glcr_c
glcr,GLCRAL,-,glcr_c
gln__L,ADCS,+,gln__L_c
gln__L,CSND,+,gln__L_c
gln__L,GLUDy,-,gln__L_c
glu5sa,CTPS2,-,glu5sa_c
glu5sa,GF6PTA,-,glu5sa_c
glu__D,GLUDy,-,glu__D_c
glu__D,GLUSy,-,glu__D_c
glu__L,ASPK,-,glu__L_c
glu__L,CSND,+,glu__L_c
glu__L,DAPDC,-,glu__L_c
glu__L,GF6PTA,-,glu__L_c
glu__L,GLNTRS,-,glu__L_c
glu__L,GLUSy,-,glu__L_c
glu__L,HSK,-,glu__L_c
glu__L,ME2,+,glu__L_c
glu__L,PRFGS,-,glu__L_c
glu__L,TMDS,-,glu__L_c
glu__L,UAMAGS,-,glu__L_c
glx,ACHBS,-,glx_c
glx,HOPNTAL,-,glx_c
glx,ICL,-,glx_c
glx,PDH,-,glx_c
gly,ALAALAr,-,gly_c
gly,CSND,+,gly_c
gly,FTHFD,-,gly_c
