bigg.metabolite,bigg.reaction,Mode,metabolite_id
gly,GLNS,-,gly_c
gly,GLUSy,-,gly_c
gly,OCBT,-,gly_c
gly,PGCD,-,gly_c
gly,SERAT,-,gly_c
gly,SERD_D,-,gly_c
gly,UAMAS,-,gly_c
glyald,BETALDHx,-,glyald_c
glyald,DXPS,-,glyald_c
glyb,GLNS,+,glyb_c
glyc,ASPT,+,glyc_c
glyc,FUM,-,glyc_c
glyc,GLYK,-,glyc_c
glyc,TMDS,-,glyc_c
glyc3p,AB6PGH,-,glyc3p_c
glyc3p,FBA,+,glyc3p_c
glyc3p,G3PD2,-,glyc3p_c
glyc3p,GLYK,-,glyc3p_c
glyc3p,PGSA120,-,glyc3p_c
glyclt,GCALDD,-,glyclt_c
glyclt,ICL,-,glyclt_c
glyclt,MALS,-,glyclt_c
glyclt,PANTS,-,glyclt_c
gmp,ADPT,-,gmp_c
gmp,CDAPPA120,-,gmp_c
gmp,CTPS2,-,gmp_c
gmp,GLUPRT,-,gmp_c
gmp,GMPS2,-,gmp_c
gmp,GSNK,-,gmp_c
gmp,IMPD,-,gmp_c
gsn,CTPS2,-,gsn_c
gsn,CYTD,-,gsn_c
gsn,DGK1,-,gsn_c
gthox,ADSK,-,gthox_c
gthox,ASAD,-,gthox_c
gthox,GTHOr,-,gthox_c
gthox,PAPSR,-,gthox_c
gtp,3NTD2pp,-,gtp_p
gtp,ADNCYC,-,gtp_c
gtp,ASPCT,-,gtp_c
gtp,CBPS,+,gtp_c
gtp,DGK1,-,gtp_c
gtp,DURIK1,+,gtp_c
gtp,GLGC,-,gtp_c
gtp,GLUSy,-,gtp_c
gtp,GSNK,-,gtp_c
gtp,IMPD,-,gtp_c
gtp,LYSDC,-,gtp_c
gtp,METAT,-,gtp_c
gtp,MTHFD,-,gtp_c
gtp,NDPK1,-,gtp_c
gtp,NTD1,-,gtp_c
gtp,NTD10,-,gtp_c
gtp,NTP12,-,gtp_c
gtp,NTPTP1,-,gtp_c
gtp,ORNDC,+,gtp_c
gtp,PPC,+,gtp_c
gtp,PYK,-,gtp_c
gtp,TMPPP,-,gtp_c
gtp,UPPRT,+,gtp_c
gua,PUNP1,-,gua_c
h2o2,ACNML,-,h2o2_c
h2o2,CAT,-,h2o2_c
h2o2,CBPS,-,h2o2_c
h2o2,CPPPGO2,-,h2o2_c
h2o2,CSND,-,h2o2_c
h2o2,DHCINDO,-,h2o2_c
h2o2,EDD,-,h2o2_c
h2o2,QULNS,-,h2o2_c
h2o2,RNDR1,+,h2o2_c
h2o2,SELNPS,-,h2o2_c
h2o2,SPODM,-,h2o2_c
h2o2,THRTRS,-,h2o2_c
h2o2,TKT1,+,h2o2_c
h2s,NO3R2bpp,-,h2s_c
h2s,SPODM,-,h2s_c
h2s,SULR,-,h2s_c
hco3,CFAS160E,+,hco3_c
hco3,LACZ,-,hco3_c
hcys__L,HCYSMT,+,hcys__L_c
hcys__L,HSK,-,hcys__L_c
hdca,DAGK160,+,hdca_c
hdcea,G3PAT120,-,hdcea_c
his__L,ATPPRT,-,his__L_c
his__L,CAT,+,his__L_c
his__L,CSND,+,his__L_c
his__L,GLNS,-,his__L_c
his__L,GLUSy,-,his__L_c
his__L,HISTP,-,his__L_c
histd,HISTP,-,histd_c
histd,HISTRS,-,histd_c
hom__L,CSND,+,hom__L_c
hom__L,GLUDy,-,hom__L_c
hom__L,GLUSy,-,hom__L_c
hom__L,HCYSMT,+,hom__L_c
hom__L,HSDy,-,hom__L_c
hom__L,HSK,-,hom__L_c
hom__L,PGCD,-,hom__L_c
hpyr,ACHBS,-,hpyr_c
hpyr,ACNML,-,hpyr_c
hpyr,GLGC,+,hpyr_c
hpyr,PDH,-,hpyr_c
iasp,ASPO6,-,iasp_c
icit,GLUSy,-,icit_c
ile__L,ACHBS,-,ile__L_c
ile__L,CSND,+,ile__L_c
ile__L,HSK,-,ile__L_c
ile__L,OCBT,-,ile__L_c
ile__L,SERD_L,-,ile__L_c
imp,ADPT,-,imp_c
imp,ADSS,-,imp_c
imp,DGK1,-,imp_c
imp,GLUPRT,-,imp_c
imp,GMPR,-,imp_c
imp,MTHFD,-,imp_c
imp,PRASCSi,-,imp_c
indole,ALAALAr,-,indole_c
indole,EAR121x,-,indole_c
inost,GLNS,+,inost_c
ins,ASPCT,-,ins_c
ins,CTPS2,-,ins_c
itp,3NTD2pp,-,itp_c
itp,ASPCT,-,itp_c
itp,CBPS,+,itp_c
itp,GLUSy,-,itp_c
itp,LEUTRS,-,itp_c
itp,NTD1,-,itp_c
itp,NTD10,-,itp_c
kdo,GLCRAL,-,kdo_c
kdo2lipid4,MOAT,-,kdo2lipid4_c
kdo2lipid4,MOAT2,-,kdo2lipid4_c
kdo8p,KDOPS,-,kdo8p_c
lac__L,PDH,-,lac__L_c
lac__L,UAMAS,-,lac__L_c
lald__D,TALA,-,lald__D_c
lald__L,LCADi,-,lald__L_c
leu__L,ACHBS,-,leu__L_c
leu__L,ASPK,-,leu__L_c
leu__L,CSND,+,leu__L_c
leu__L,IPPS,-,leu__L_c
leu__L,OCBT,-,leu__L_c
leu__L,VALTA,-,leu__L_c
leu__L,VPAMTr,-,leu__L_c
lipa,MOAT,-,lipa_c
lipa,MOAT2,-,lipa_c
lipidAds,MOAT,-,lipidAds_c
lipidAds,MOAT2,-,lipidAds_c
lipoate,OPHBDC,+,lipoate_c
lys__L,ARGDC,-,lys__L_c
lys__L,ASPK,-,lys__L_c
lys__L,DAPDC,-,lys__L_c
lys__L,HSK,-,lys__L_c
lys__L,OCBT,-,lys__L_c
mal__D,ASPT,-,mal__D_c
mal__D,DOGULNR,-,mal__D_c
mal__L,ASPK,-,mal__L_c
mal__L,ASPT,-,mal__L_c
mal__L,GLUSy,-,mal__L_c
mal__L,PPC,-,mal__L_c
malcoa,PNTK,-,malcoa_c
man6p,SBTPD,-,man6p_c
mana,MANAO,-,mana_c
mana,TAGURr,-,mana_c
meoh,ASPT,-,meoh_c
meoh,OPHBDC,+,meoh_c
meoh,UAGPT3,-,meoh_c
met__D,GLUSy,-,met__D_c
met__D,HSST,-,met__D_c
met__L,FTHFD,+,met__L_c
met__L,GLUSy,-,met__L_c
met__L,HCYSMT,-,met__L_c
met__L,HSK,-,met__L_c
met__L,HSST,-,met__L_c
met__L,METS,-,met__L_c
met__L,OCBT,-,met__L_c
met__L,TRPAS2,-,met__L_c
metsox_S__L,GLNS,-,metsox_S__L_c
mlthf,MTHFR2,-,mlthf_c
mlthf,TMDS,-,mlthf_c
mnl1p,MAN6PI,-,mnl1p_c
mnl1p,TREptspp,-,mnl1p_c
mthgxl,FCLPA,-,mthgxl_c
mthgxl,LCADi,-,mthgxl_c
nad,ACALD,+,nad_c
nad,ASNN,-,nad_c
nad,ASPO6,-,nad_c
nad,CS,-,nad_c
nad,DHQS,-,nad_c
nad,G3PD2,-,nad_c
nad,GALS3,+,nad_c
nad,MANAO,-,nad_c
nad,NADH16pp,-,nad_c
nad,NMNAT,-,nad_c
nadh,AB6PGH,-,nadh_c
nadh,AGMHE,-,nadh_c
nadh,ASNN,-,nadh_c
nadh,CS,-,nadh_c
nadh,G6PDH2r,-,nadh_c
nadh,LCADi,-,nadh_c
nadh,ME2,-,nadh_c
nadh,MTHFR2,-,nadh_c
nadh,NADK,-,nadh_c
nadh,P5CR,-,nadh_c
nadh,PGCD,-,nadh_c
nadh,PPCK,-,nadh_c
nadh,PTA2,-,nadh_c
nadh,SUCOAS,-,nadh_c
nadh,UDPG4E,-,nadh_c
nadp,3OAR121,-,nadp_c
nadp,ASNN,-,nadp_c
nadp,BETALDHx,-,nadp_c
nadp,DPR,-,nadp_c
nadp,FMNRx2,-,nadp_c
nadp,G3PD2,-,nadp_c
nadp,GDMANE,-,nadp_c
nadp,GLGC,+,nadp_c
nadp,GLUSy,-,nadp_c
nadp,GND,-,nadp_c
nadp,HSDy,-,nadp_c
nadp,KARA1,-,nadp_c
nadp,ME2,-,nadp_c
nadp,NADK,-,nadp_c
nadp,NTRIR2x,-,nadp_c
nadp,P5CR,-,nadp_c
nadp,SULR,-,nadp_c
nadp,TRDR,-,nadp_c
nadp,UAPGR,-,nadp_c
nadph,ASNN,-,nadph_c
nadph,G3PD2,-,nadph_c
nadph,G5SD,-,nadph_c
nadph,G6PDH2r,-,nadph_c
nadph,GLGC,+,nadph_c
nadph,GLUSy,-,nadph_c
nadph,GMAND,+,nadph_c
nadph,GND,-,nadph_c
nadph,GTHOr,-,nadph_c
nadph,KARA1,-,nadph_c
nadph,NADK,-,nadph_c
nadph,P5CR,-,nadph_c
nadph,PTA2,-,nadph_c
nadph,PTHRpp,-,nadph_c
nadph,THD2pp,-,nadph_c
nadph,UAPGR,-,nadph_c
nadph,UDPGALM,+,nadph_c
nicrnt,NNDPR,-,nicrnt_c
nmn,G3PD2,-,nmn_c
no,DHAD1,-,no_c
no,NODOx,-,no_c
no2,FHL,-,no2_c
no3,ADSS,-,no3_c
no3,FHL,-,no3_c
no3,GLCP2,-,no3_c
no3,GLCRAL,-,no3_c
no3,SULR,-,no3_c
o2,EDD,-,o2_c
o2,FHL,-,o2_c
o2,OBTFL,-,o2_c
o2,QULNS,-,o2_c
o2s,FUM,-,o2s_c
o2s,TKT1,-,o2s_c
oaa,CITL,-,oaa_c
oaa,CS,-,oaa_c
oaa,GLUSy,-,oaa_c
oaa,ICDHyr,-,oaa_c
oaa,ME2,-,oaa_c
oaa,PPS,-,oaa_c
oaa,PTHRpp,+,oaa_c
ocdca,DAGK160,+,ocdca_c
ocdcea,DAGK160,+,ocdcea_c
ocdcea,G3PAT120,-,ocdcea_c
orn,ACODA,-,orn_c
orn,ACOTA,-,orn_c
orn,AGMT,-,orn_c
orn,ARGDC,-,orn_c
orn,ARGTRS,-,orn_c
orn,CBPS,+,orn_c
orn,CSND,+,orn_c
orn,LYSTRS,-,orn_c
orn,OCBT,-,orn_c
oxa,ASP1DC,-,oxa_c
oxa,FORCT,-,oxa_c
oxa,ICL,-,oxa_c
oxa,MALS,-,oxa_c
oxa,PPCK,-,oxa_c
oxa,PPS,-,oxa_c
oxam,LDH_D,-,oxam_c
oxam,OBTFL,+,oxam_c
pa160,DAGK160,+,pa160_c
pacald,BETALDHx,-,pacald_c
pan4p,PNTK,-,pan4p_c
pan4p,PTPATi,-,pan4p_c
pant__R,DPR,-,pant__R_c
pant__R,MOHMT,-,pant__R_c
pap,PAPSR,-,pap_c
paps,ADSK,-,paps_c
pdx5p,GCALDD,-,pdx5p_c
pdx5p,PDX5POi,-,pdx5p_c
pep,AB6PGH,-,pep_c
pep,FBA,+,pep_c
pep,G3PD2,-,pep_c
pep,ICDHyr,-,pep_c
pep,ICL,-,pep_c
pep,MGSA,-,pep_c
pep,PFK,-,pep_c
pep,PGI,-,pep_c
pep,PPCK,-,pep_c
pep,PPS,-,pep_c
pep,PTHRpp,+,pep_c
pep,PYK,+,pep_c
pep,TMPPP,-,pep_c
pg160,ZN2abcpp,+,pg160_c
pg180,ZN2abcpp,+,pg180_c
phe__L,CHORM,-,phe__L_c
phe__L,CSND,+,phe__L_c
phe__L,DDPA,-,phe__L_c
phe__L,TRPAS2,-,phe__L_c
pheme,NODOx,+,pheme_c
phpyr,PDH,-,phpyr_c
phthr,4HTHRS,-,phthr_c
pi,23PDE2pp,-,pi_p
pi,3OAS121,+,pi_c
pi,ACODA,+,pi_c
pi,AMPN,-,pi_c
pi,ATPS4rpp,-,pi_c
pi,DDPA,-,pi_c
pi,DPR,-,pi_c
pi,FBP,-,pi_c
pi,G3PAT120,-,pi_c
pi,GALCTD,-,pi_c
pi,GLGC,-,pi_c
pi,GTPCI,-,pi_c
pi,GTPCII2,-,pi_c
pi,ICL,-,pi_c
pi,KDOPS,-,pi_c
pi,METAT,-,pi_c
pi,MGSA,-,pi_c
pi,OCBT,-,pi_c
pi,PGPP120,-,pi_c
pi,PPM2,-,pi_c
pi,PRAIS,-,pi_c
pi,PYNP2r,-,pi_c
pi,RMPA,-,pi_c
pi,RPI,-,pi_c
pi,SELNPS,-,pi_c
pi,TALA,-,pi_c
pi,TRDR,+,pi_c
pmtcoa,EAR121x,-,pmtcoa_c
pmtcoa,EAR121y,-,pmtcoa_c
pmtcoa,G3PAT120,-,pmtcoa_c
pmtcoa,G3PD2,-,pmtcoa_c
pmtcoa,PNTK,-,pmtcoa_c
pnto__R,CITL,+,pnto__R_c
pnto__R,MOHMT,-,pnto__R_c
pnto__R,PANTS,-,pnto__R_c
ppa,ACS,-,ppa_c
ppa,MCITD,+,ppa_c
ppal,DRPA,-,ppal_c
ppcoa,CS,-,ppcoa_c
ppgpp,ADPT,-,ppgpp_c
ppgpp,ADSS,-,ppgpp_c
ppgpp,GDPDPK,-,ppgpp_c
ppgpp,GTPDPDP,-,ppgpp_c
ppgpp,LYSDC,-,ppgpp_c
ppgpp,UPPRT,+,ppgpp_c
pphn,CHORM,-,pphn_c
ppi,ACS,-,ppi_c
ppi,ADNCYC,-,ppi_c
ppi,ARGTRS,-,ppi_c
ppi,ASNN,+,ppi_c
ppi,ASNS1,-,ppi_c
ppi,ASPCT,-,ppi_c
ppi,ASPT,-,ppi_c
ppi,ATPS4rpp,-,ppi_c
ppi,DNTPPA,-,ppi_c
ppi,FBA,-,ppi_c
ppi,G1PTT,-,ppi_c
ppi,GALCTD,-,ppi_c
ppi,GDPMNP,-,ppi_c
ppi,GLCRAL,-,ppi_c
ppi,GLGC,-,ppi_c
ppi,GMPS2,-,ppi_c
ppi,GTPCII2,-,ppi_c
ppi,HISTRS,-,ppi_c
ppi,ILETRS,-,ppi_c
ppi,KDOCT2,-,ppi_c
ppi,METAT,-,ppi_c
ppi,MGSA,-,ppi_c
ppi,NDPK1,-,ppi_c
ppi,NNDPR,-,ppi_c
ppi,NTPP1,-,ppi_c
ppi,PANTS,-,ppi_c
ppi,PPA,-,ppi_c
ppi,PTPATi,-,ppi_c
ppi,SERTRS,-,ppi_c
ppi,TALA,-,ppi_c
ppi,TMPK,-,ppi_c
ppi,TMPPP,-,ppi_c
ppi,TYRTRS,-,ppi_c
ppp9,CPPPGO,-,ppp9_c
pppi,ASNN,+,pppi_c
pppi,METAT,-,pppi_c
pppn,PHETRS,-,pppn_c
pram,PRAGSr,-,pram_c
pro__L,GLNS,+,pro__L_c
pro__L,GLU5K,-,pro__L_c
pro__L,P5CR,-,pro__L_c
prpp,GLUPRT,+,prpp_c
prpp,UPPRT,-,prpp_c
pser__L,ASPT,-,pser__L_c
pser__L,HSK,-,pser__L_c
pser__L,ORNDC,-,pser__L_c
ptrc,AGMT,-,ptrc_c
ptrc,ARGDC,-,ptrc_c
ptrc,DHFR,-,ptrc_c
ptrc,LYSDC,-,ptrc_c
ptrc,ORNDC,-,ptrc_c
pyam5p,GCALDD,-,pyam5p_c
pydam,GCALDD,-,pydam_c
pydx,ARGDC,-,pydx_c
pydx,PPCDC,-,pydx_c
pydx,PYDAMK,-,pydx_c
pydx5p,ADNCYC,-,pydx5p_c
pydx5p,E4PD,-,pydx5p_c
pydx5p,GCALDD,+,pydx5p_c
pydx5p,GF6PTA,-,pydx5p_c
pydx5p,GLGC,+,pydx5p_c
pydx5p,GLUDy,-,pydx5p_c
pydx5p,GLYC2Pabcpp,-,pydx5p_c
pydx5p,HSK,-,pydx5p_c
pydx5p,PDX5POi,-,pydx5p_c
pydx5p,PPCDC,-,pydx5p_c
pydx5p,PSCVT,-,pydx5p_c
pydx5p,PYDAMK,-,pydx5p_c
pydxn,HMPK1,-,pydxn_c
pyr,ACNML,-,pyr_c
pyr,ADMDC,+,pyr_c
pyr,DXPS,-,pyr_c
pyr,GLGC,+,pyr_c
pyr,GLUSy,-,pyr_c
pyr,HOPNTAL,-,pyr_c
pyr,LDH_D,+,pyr_c
pyr,MALS,-,pyr_c
pyr,MCPST,-,pyr_c
pyr,MOHMT,-,pyr_c
pyr,OBTFL,+,pyr_c
pyr,PSCVT,-,pyr_c
pyr,PSD120,+,pyr_c
pyr,PTHRpp,+,pyr_p
pyr,SERD_L,-,pyr_c
r15bp,PPM2,+,r15bp_c
r1p,DURIPP,-,r1p_c
r1p,PYNP2r,-,r1p_c
rib__D,RBK,-,rib__D_c
ribflv,AIRC2,-,ribflv_c
ru5p__D,GND,-,ru5p__D_c
s17bp,DDPA,-,s17bp_c
s17bp,GLGC,+,s17bp_c
s7p,DDPA,-,s7p_c
sarcs,BETALDHx,-,sarcs_c
sbt6p,GF6PTA,-,sbt6p_c
selnp,SELNPS,-,selnp_c
ser__L,CSND,+,ser__L_c
ser__L,GHMT2r,+,ser__L_c
ser__L,GLNS,-,ser__L_c
ser__L,GLUSy,-,ser__L_c
ser__L,HSDy,-,ser__L_c
ser__L,HSK,-,ser__L_c
ser__L,OCBT,-,ser__L_c
ser__L,PGCD,-,ser__L_c
ser__L,PSP_L,-,ser__L_c
ser__L,SERAT,-,ser__L_c
ser__L,SERD_D,-,ser__L_c
ser__L,UAMAS,-,ser__L_c
so3,CYANST,-,so3_c
so3,NTRIR2x,-,so3_c
so4,AMPN,-,so4_c
so4,CTPS2,-,so4_c
so4,CYANST,-,so4_c
so4,DURIPP,-,so4_c
so4,FBP,+,so4_c
so4,ICL,-,so4_c
so4,PPM2,-,so4_c
so4,RMPA,-,so4_c
so4,SULR,-,so4_c
so4,TALA,-,so4_c
so4,TYRTRS,-,so4_c
spmd,ADMDC,-,spmd_c
spmd,APCS,-,spmd_c
spmd,ARGDC,-,spmd_c
spmd,ARGTRS,+,spmd_c
spmd,DHFR,-,spmd_c
spmd,G3PAT120,+,spmd_c
spmd,G6PDH2r,+,spmd_c
spmd,ILETRS,+,spmd_c
spmd,LYSDC,-,spmd_c
spmd,ORNDC,-,spmd_c
spmd,PTRCabcpp,-,spmd_c
succ,ABTA,-,succ_c
succ,ADSS,-,succ_c
succ,ASP1DC,-,succ_c
succ,ASPK,-,succ_c
succ,ASPT,-,succ_c
succ,DHQTi,-,succ_c
succ,GLUSy,-,succ_c
succ,ICL,-,succ_c
succ,PPC,-,succ_c
succ,SUCOAS,-,succ_c
succoa,PNTK,-,succoa_c
succoa,PYK,-,succoa_c
tagur,MNNH,+,tagur_c
tartr__D,DHQTi,-,tartr__D_c
tartr__L,DOGULNR,-,tartr__L_c
tartr__L,FUM,-,tartr__L_c
tartr__L,GLCRD,-,tartr__L_c
taur,PANTS,-,taur_c
tdcoa,EDTXS1,-,tdcoa_c
thf,METS,-,thf_c
thf,MOHMT,-,thf_c
thm,TMPK,-,thm_c
thmpp,NTP12,-,thmpp_c
thmpp,SEPHCHCS,+,thmpp_c
thr__L,ASPK,-,thr__L_c
thr__L,CSND,+,thr__L_c
thr__L,HSDy,-,thr__L_c
thr__L,HSK,-,thr__L_c
thr__L,PGCD,-,thr__L_c
trdrd,ADSK,+,trdrd_c
tre6p,GLGC,-,tre6p_c
trp__L,ANPRT,-,trp__L_c
trp__L,ANS,-,trp__L_c
trp__L,DDPA,-,trp__L_c
trp__L,GLNS,-,trp__L_c
trp__L,TRPAS2,-,trp__L_c
tsul,CYANST,-,tsul_c
tungs,ASAD,-,tungs_c
tungs,FUM,-,tungs_c
tyr__L,CHORM,-,tyr__L_c
tyr__L,DDPA,-,tyr__L_c
tyr__L,VALTA,-,tyr__L_c
u3aga,UAGAAT,-,u3aga_c
uaccg,UAPGR,-,uaccg_c
uacgam,UAAGDS,-,uacgam_c
uacgam,UAG2E,+,uacgam_c
uacgam,UAGAAT,-,uacgam_c
uacgam,UAGDP,-,uacgam_c
uacgam,UAPGR,-,uacgam_c
uama,GLUR,+,uama_c
uama,UAAGDS,-,uama_c
uama,UAGCVT,-,uama_c
uama,UAMAS,-,uama_c
uamag,UAGCVT,-,uamag_c
uamag,UAMAGS,-,uamag_c
uamr,G1PACT,-,uamr_c
uamr,UAAGDS,-,uamr_c
uamr,UAGCVT,-,uamr_c
udp,CBPS,-,udp_c
udp,RNDR1,-,udp_c
udp,UAAGDS,-,udp_c
udp,UAGPT3,-,udp_c
udp,UAPGR,-,udp_c
udp,UDPG4E,+,udp_c
udpg,GLCP2,-,udpg_c
udpg,UGLT,-,udpg_c
udpgal,UGLT,-,udpgal_c
udpglcur,UDPGD,-,udpglcur_c
ugmd,UAAGDS,-,ugmd_c
ugmda,UAGCVT,-,ugmda_c
ump,CBPS,-,ump_c
ump,CDAPPA120,-,ump_c
ump,GSNK,+,ump_c
ump,OMPDC,-,ump_c
ura,CTPS2,-,ura_c
ura,PYNP2r,-,ura_c
urate,CTPS2,-,urate_c
urea,3OAS121,-,urea_c
urea,ALATRS,-,urea_c
urea,ARGDC,-,urea_c
urea,ASPO6,-,urea_c
urea,CBPS,-,urea_c
urea,CYTD,-,urea_c
urea,DHFR,-,urea_c
urea,ETHAAL,-,urea_c
urea,GHMT2r,-,urea_c
urea,GLUDy,-,urea_c
urea,HISTD,-,urea_c
urea,TKT1,-,urea_c
uri,CTPS2,-,uri_c
uri,CYTD,-,uri_c
uri,DURIPP,-,uri_c
uri,PYNP2r,-,uri_c
utp,3NTD2pp,-,utp_c
utp,CBPS,-,utp_c
utp,CYTDK2,-,utp_c
utp,DXYLK,-,utp_c
utp,GLUDy,+,utp_c
utp,GLUSy,-,utp_c
utp,GTPCI,-,utp_c
utp,NTD1,-,utp_c
utp,NTD10,-,utp_c
utp,NTPP1,-,utp_c
utp,ORPT,-,utp_c
utp,TMPPP,-,utp_c
val__L,ACHBS,-,val__L_c
val__L,CSND,+,val__L_c
val__L,HSK,-,val__L_c
val__L,MOHMT,-,val__L_c
val__L,OCBT,-,val__L_c
val__L,PANTS,-,val__L_c
val__L,SERD_L,+,val__L_c
xan,CTPS2,-,xan_c
xan,DURIPP,-,xan_c
xmp,CBPS,+,xmp_c
xmp,GLUPRT,-,xmp_c
xmp,GMPS2,-,xmp_c
xmp,IMPD,-,xmp_c
xmp,OMPDC,-,xmp_c
xtp,GTPCII2,-,xtp_c
xtsn,CTPS2,-,xtsn_c
xyl__D,PPBNGS,-,xyl__D_c
